block_start_ist,mcp_rs_per_mwh
2026-08-23T09:00:00+05:30,2470.60
2026-08-23T09:15:00+05:30,2470.04
2026-08-23T09:30:00+05:30,2100.21
2026-08-23T09:45:00+05:30,1969.50
2026-08-23T10:00:00+05:30,1840.23
2026-08-23T10:15:00+05:30,1701.00
2026-08-23T10:30:00+05:30,1572.05
2026-08-23T10:45:00+05:30,1524.99
2026-08-23T11:00:00+05:30,1572.59
2026-08-23T11:15:00+05:30,1523.86
2026-08-23T11:30:00+05:30,1400.96
2026-08-23T11:45:00+05:30,1400.84
2026-08-23T12:00:00+05:30,1400.44
2026-08-23T12:15:00+05:30,1399.30
2026-08-23T12:30:00+05:30,1301.77
2026-08-23T12:45:00+05:30,1263.74
2026-08-23T13:00:00+05:30,1111.92
2026-08-23T13:15:00+05:30,1111.97
2026-08-23T13:30:00+05:30,1300.84
2026-08-23T13:45:00+05:30,1399.65
2026-08-23T14:00:00+05:30,1523.97
2026-08-23T14:15:00+05:30,1524.03
2026-08-23T14:30:00+05:30,1604.44
2026-08-23T14:45:00+05:30,1700.04
2026-08-23T15:00:00+05:30,1892.26
2026-08-23T15:15:00+05:30,1999.93
2026-08-23T15:30:00+05:30,2279.82
2026-08-23T15:45:00+05:30,2458.10
2026-08-23T16:00:00+05:30,2718.25
2026-08-23T16:15:00+05:30,3095.27
2026-08-23T16:30:00+05:30,3292.69
2026-08-23T16:45:00+05:30,3561.02
2026-08-23T17:00:00+05:30,3398.23
2026-08-23T17:15:00+05:30,3353.92
2026-08-23T17:30:00+05:30,3353.75
2026-08-23T17:45:00+05:30,3353.98
2026-08-23T18:00:00+05:30,3470.39
2026-08-23T18:15:00+05:30,3630.76
2026-08-23T18:30:00+05:30,4999.70
2026-08-23T18:45:00+05:30,5099.84
2026-08-23T19:00:00+05:30,10000.00
2026-08-23T19:15:00+05:30,10000.00
2026-08-23T19:30:00+05:30,10000.00
2026-08-23T19:45:00+05:30,10000.00
2026-08-23T20:00:00+05:30,10000.00
2026-08-23T20:15:00+05:30,10000.00
2026-08-23T20:30:00+05:30,10000.00
2026-08-23T20:45:00+05:30,10000.00
2026-08-23T21:00:00+05:30,10000.00
2026-08-23T21:15:00+05:30,10000.00
2026-08-23T21:30:00+05:30,10000.00
2026-08-23T21:45:00+05:30,10000.00
2026-08-23T22:00:00+05:30,10000.00
2026-08-23T22:15:00+05:30,10000.00
2026-08-23T22:30:00+05:30,10000.00
2026-08-23T22:45:00+05:30,10000.00
2026-08-23T23:00:00+05:30,10000.00
2026-08-23T23:15:00+05:30,10000.00
2026-08-23T23:30:00+05:30,10000.00
2026-08-23T23:45:00+05:30,10000.00
2026-08-24T00:00:00+05:30,10000.00
2026-08-24T00:15:00+05:30,10000.00
2026-08-24T00:30:00+05:30,10000.00
2026-08-24T00:45:00+05:30,10000.00
2026-08-24T01:00:00+05:30,10000.00
2026-08-24T01:15:00+05:30,10000.00
2026-08-24T01:30:00+05:30,10000.00
2026-08-24T01:45:00+05:30,10000.00
2026-08-24T02:00:00+05:30,10000.00
2026-08-24T02:15:00+05:30,10000.00
2026-08-24T02:30:00+05:30,10000.00
2026-08-24T02:45:00+05:30,10000.00
2026-08-24T03:00:00+05:30,10000.00
2026-08-24T03:15:00+05:30,10000.00
2026-08-24T03:30:00+05:30,10000.00
2026-08-24T03:45:00+05:30,9999.79
2026-08-24T04:00:00+05:30,10000.00
2026-08-24T04:15:00+05:30,10000.00
2026-08-24T04:30:00+05:30,10000.00
2026-08-24T04:45:00+05:30,10000.00
2026-08-24T05:00:00+05:30,10000.00
2026-08-24T05:15:00+05:30,10000.00
2026-08-24T05:30:00+05:30,10000.00
2026-08-24T05:45:00+05:30,10000.00
2026-08-24T06:00:00+05:30,10000.00
2026-08-24T06:15:00+05:30,10000.00
2026-08-24T06:30:00+05:30,10000.00
2026-08-24T06:45:00+05:30,10000.00
2026-08-24T07:00:00+05:30,10000.00
2026-08-24T07:15:00+05:30,10000.00
2026-08-24T07:30:00+05:30,10000.00
2026-08-24T07:45:00+05:30,10000.00
2026-08-24T08:00:00+05:30,5570.05
2026-08-24T08:15:00+05:30,5000.73
2026-08-24T08:30:00+05:30,4254.63
2026-08-24T08:45:00+05:30,3738.92
2026-08-24T09:00:00+05:30,3500.52
2026-08-24T09:15:00+05:30,3369.61
2026-08-24T09:30:00+05:30,3046.14
2026-08-24T09:45:00+05:30,2845.93
2026-08-24T10:00:00+05:30,2279.65
2026-08-24T10:15:00+05:30,2120.84
2026-08-24T10:30:00+05:30,1999.72
2026-08-24T10:45:00+05:30,1999.10
2026-08-24T11:00:00+05:30,1966.99
2026-08-24T11:15:00+05:30,1966.30
2026-08-24T11:30:00+05:30,1918.94
2026-08-24T11:45:00+05:30,1898.10
2026-08-24T12:00:00+05:30,1887.26
2026-08-24T12:15:00+05:30,1881.78
2026-08-24T12:30:00+05:30,1862.55
2026-08-24T12:45:00+05:30,1860.89
2026-08-24T13:00:00+05:30,1860.26
2026-08-24T13:15:00+05:30,1860.42
2026-08-24T13:30:00+05:30,1860.94
2026-08-24T13:45:00+05:30,1995.64
2026-08-24T14:00:00+05:30,2000.84
2026-08-24T14:15:00+05:30,2129.60
2026-08-24T14:30:00+05:30,2220.12
2026-08-24T14:45:00+05:30,2279.52
2026-08-24T15:00:00+05:30,2514.90
2026-08-24T15:15:00+05:30,2700.66
2026-08-24T15:30:00+05:30,3084.68
2026-08-24T15:45:00+05:30,3199.01
2026-08-24T16:00:00+05:30,3599.55
2026-08-24T16:15:00+05:30,3997.74
2026-08-24T16:30:00+05:30,5001.67
2026-08-24T16:45:00+05:30,5509.07
2026-08-24T17:00:00+05:30,10000.00
2026-08-24T17:15:00+05:30,10000.00
2026-08-24T17:30:00+05:30,10000.00
2026-08-24T17:45:00+05:30,10000.00
2026-08-24T18:00:00+05:30,10000.00
2026-08-24T18:15:00+05:30,10000.00
2026-08-24T18:30:00+05:30,10000.00
2026-08-24T18:45:00+05:30,10000.00
2026-08-24T19:00:00+05:30,10000.00
2026-08-24T19:15:00+05:30,10000.00
2026-08-24T19:30:00+05:30,10000.00
2026-08-24T19:45:00+05:30,10000.00
2026-08-24T20:00:00+05:30,10000.00
2026-08-24T20:15:00+05:30,10000.00
2026-08-24T20:30:00+05:30,10000.00
2026-08-24T20:45:00+05:30,10000.00
2026-08-24T21:00:00+05:30,10000.00
2026-08-24T21:15:00+05:30,10000.00
2026-08-24T21:30:00+05:30,10000.00
2026-08-24T21:45:00+05:30,10000.00
2026-08-24T22:00:00+05:30,10000.00
2026-08-24T22:15:00+05:30,10000.00
2026-08-24T22:30:00+05:30,10000.00
2026-08-24T22:45:00+05:30,10000.00
2026-08-24T23:00:00+05:30,10000.00
2026-08-24T23:15:00+05:30,10000.00
2026-08-24T23:30:00+05:30,10000.00
2026-08-24T23:45:00+05:30,10000.00
2026-08-25T00:00:00+05:30,10000.00
2026-08-25T00:15:00+05:30,10000.00
2026-08-25T00:30:00+05:30,10000.00
2026-08-25T00:45:00+05:30,10000.00
2026-08-25T01:00:00+05:30,10000.00
2026-08-25T01:15:00+05:30,10000.00
2026-08-25T01:30:00+05:30,10000.00
2026-08-25T01:45:00+05:30,10000.00
2026-08-25T02:00:00+05:30,10000.00
2026-08-25T02:15:00+05:30,10000.00
2026-08-25T02:30:00+05:30,10000.00
2026-08-25T02:45:00+05:30,8503.26
2026-08-25T03:00:00+05:30,10000.00
2026-08-25T03:15:00+05:30,7999.53
2026-08-25T03:30:00+05:30,6500.49
2026-08-25T03:45:00+05:30,6500.33
2026-08-25T04:00:00+05:30,8149.90
2026-08-25T04:15:00+05:30,10000.00
2026-08-25T04:30:00+05:30,10000.00
2026-08-25T04:45:00+05:30,10000.00
2026-08-25T05:00:00+05:30,10000.00
2026-08-25T05:15:00+05:30,10000.00
2026-08-25T05:30:00+05:30,10000.00
2026-08-25T05:45:00+05:30,10000.00
2026-08-25T06:00:00+05:30,10000.00
2026-08-25T06:15:00+05:30,10000.00
2026-08-25T06:30:00+05:30,10000.00
2026-08-25T06:45:00+05:30,10000.00
2026-08-25T07:00:00+05:30,10000.00
2026-08-25T07:15:00+05:30,10000.00
2026-08-25T07:30:00+05:30,10000.00
2026-08-25T07:45:00+05:30,8881.07
2026-08-25T08:00:00+05:30,4113.56
2026-08-25T08:15:00+05:30,3600.53
2026-08-25T08:30:00+05:30,3200.71
2026-08-25T08:45:00+05:30,3030.36
2026-08-25T09:00:00+05:30,3060.47
2026-08-25T09:15:00+05:30,3010.24
2026-08-25T09:30:00+05:30,2845.94
2026-08-25T09:45:00+05:30,2694.37
2026-08-25T10:00:00+05:30,2279.80
2026-08-25T10:15:00+05:30,2165.29
2026-08-25T10:30:00+05:30,2000.70
2026-08-25T10:45:00+05:30,1999.70
2026-08-25T11:00:00+05:30,1966.28
2026-08-25T11:15:00+05:30,1946.44
2026-08-25T11:30:00+05:30,1918.91
2026-08-25T11:45:00+05:30,1917.18
2026-08-25T12:00:00+05:30,1907.29
2026-08-25T12:15:00+05:30,1903.65
2026-08-25T12:30:00+05:30,1888.63
2026-08-25T12:45:00+05:30,1860.55
2026-08-25T13:00:00+05:30,1860.11
2026-08-25T13:15:00+05:30,1860.23
2026-08-25T13:30:00+05:30,1867.25
2026-08-25T13:45:00+05:30,1920.09
2026-08-25T14:00:00+05:30,1997.76
2026-08-25T14:15:00+05:30,2000.60
2026-08-25T14:30:00+05:30,2000.99
2026-08-25T14:45:00+05:30,2159.22
2026-08-25T15:00:00+05:30,2615.08
2026-08-25T15:15:00+05:30,2845.41
2026-08-25T15:30:00+05:30,2924.76
2026-08-25T15:45:00+05:30,3090.27
2026-08-25T16:00:00+05:30,3280.77
2026-08-25T16:15:00+05:30,3561.29
2026-08-25T16:30:00+05:30,3614.85
2026-08-25T16:45:00+05:30,4012.42
2026-08-25T17:00:00+05:30,4570.49
2026-08-25T17:15:00+05:30,4574.63
2026-08-25T17:30:00+05:30,5345.03
2026-08-25T17:45:00+05:30,5570.01
2026-08-25T18:00:00+05:30,6902.66
2026-08-25T18:15:00+05:30,10000.00
2026-08-25T18:30:00+05:30,10000.00
2026-08-25T18:45:00+05:30,10000.00
2026-08-25T19:00:00+05:30,10000.00
2026-08-25T19:15:00+05:30,10000.00
2026-08-25T19:30:00+05:30,10000.00
2026-08-25T19:45:00+05:30,10000.00
2026-08-25T20:00:00+05:30,10000.00
2026-08-25T20:15:00+05:30,10000.00
2026-08-25T20:30:00+05:30,10000.00
2026-08-25T20:45:00+05:30,10000.00
2026-08-25T21:00:00+05:30,10000.00
2026-08-25T21:15:00+05:30,10000.00
2026-08-25T21:30:00+05:30,10000.00
2026-08-25T21:45:00+05:30,10000.00
2026-08-25T22:00:00+05:30,10000.00
2026-08-25T22:15:00+05:30,10000.00
2026-08-25T22:30:00+05:30,10000.00
2026-08-25T22:45:00+05:30,10000.00
2026-08-25T23:00:00+05:30,10000.00
2026-08-25T23:15:00+05:30,10000.00
2026-08-25T23:30:00+05:30,10000.00
2026-08-25T23:45:00+05:30,10000.00
2026-08-26T00:00:00+05:30,10000.00
2026-08-26T00:15:00+05:30,10000.00
2026-08-26T00:30:00+05:30,10000.00
2026-08-26T00:45:00+05:30,10000.00
2026-08-26T01:00:00+05:30,10000.00
2026-08-26T01:15:00+05:30,10000.00
2026-08-26T01:30:00+05:30,10000.00
2026-08-26T01:45:00+05:30,10000.00
2026-08-26T02:00:00+05:30,6789.04
2026-08-26T02:15:00+05:30,6000.43
2026-08-26T02:30:00+05:30,6000.26
2026-08-26T02:45:00+05:30,5886.44
2026-08-26T03:00:00+05:30,4060.13
2026-08-26T03:15:00+05:30,3850.44
2026-08-26T03:30:00+05:30,3630.60
2026-08-26T03:45:00+05:30,3600.01
2026-08-26T04:00:00+05:30,3850.38
2026-08-26T04:15:00+05:30,4000.73
2026-08-26T04:30:00+05:30,6000.86
2026-08-26T04:45:00+05:30,7697.35
2026-08-26T05:00:00+05:30,10000.00
2026-08-26T05:15:00+05:30,10000.00
2026-08-26T05:30:00+05:30,10000.00
2026-08-26T05:45:00+05:30,10000.00
2026-08-26T06:00:00+05:30,10000.00
2026-08-26T06:15:00+05:30,10000.00
2026-08-26T06:30:00+05:30,10000.00
2026-08-26T06:45:00+05:30,10000.00
2026-08-26T07:00:00+05:30,10000.00
2026-08-26T07:15:00+05:30,10000.00
2026-08-26T07:30:00+05:30,10000.00
2026-08-26T07:45:00+05:30,5609.26
2026-08-26T08:00:00+05:30,4020.27
2026-08-26T08:15:00+05:30,4020.18
2026-08-26T08:30:00+05:30,3734.59
2026-08-26T08:45:00+05:30,3519.07
2026-08-26T09:00:00+05:30,3500.71
2026-08-26T09:15:00+05:30,3345.32
2026-08-26T09:30:00+05:30,3056.11
2026-08-26T09:45:00+05:30,2757.69
2026-08-26T10:00:00+05:30,2499.38
2026-08-26T10:15:00+05:30,2400.73
2026-08-26T10:30:00+05:30,2279.97
2026-08-26T10:45:00+05:30,2157.87
2026-08-26T11:00:00+05:30,2150.00
2026-08-26T11:15:00+05:30,2151.28
2026-08-26T11:30:00+05:30,2102.09
2026-08-26T11:45:00+05:30,2090.98
2026-08-26T12:00:00+05:30,2090.66
2026-08-26T12:15:00+05:30,2050.76
2026-08-26T12:30:00+05:30,2050.52
2026-08-26T12:45:00+05:30,1966.85
2026-08-26T13:00:00+05:30,1868.09
2026-08-26T13:15:00+05:30,1882.55
2026-08-26T13:30:00+05:30,1966.44
2026-08-26T13:45:00+05:30,2000.61
2026-08-26T14:00:00+05:30,2220.83
2026-08-26T14:15:00+05:30,2500.17
2026-08-26T14:30:00+05:30,2440.98
2026-08-26T14:45:00+05:30,2519.26
2026-08-26T15:00:00+05:30,2701.67
2026-08-26T15:15:00+05:30,2947.64
2026-08-26T15:30:00+05:30,3199.10
2026-08-26T15:45:00+05:30,3060.67
2026-08-26T16:00:00+05:30,3381.47
2026-08-26T16:15:00+05:30,3560.17
2026-08-26T16:30:00+05:30,3729.94
2026-08-26T16:45:00+05:30,4363.76
2026-08-26T17:00:00+05:30,4689.71
2026-08-26T17:15:00+05:30,4574.65
2026-08-26T17:30:00+05:30,3499.26
2026-08-26T17:45:00+05:30,3810.95
2026-08-26T18:00:00+05:30,7697.29
2026-08-26T18:15:00+05:30,10000.00
2026-08-26T18:30:00+05:30,10000.00
2026-08-26T18:45:00+05:30,10000.00
2026-08-26T19:00:00+05:30,10000.00
2026-08-26T19:15:00+05:30,10000.00
2026-08-26T19:30:00+05:30,10000.00
2026-08-26T19:45:00+05:30,10000.00
2026-08-26T20:00:00+05:30,10000.00
2026-08-26T20:15:00+05:30,10000.00
2026-08-26T20:30:00+05:30,10000.00
2026-08-26T20:45:00+05:30,10000.00
2026-08-26T21:00:00+05:30,10000.00
2026-08-26T21:15:00+05:30,10000.00
2026-08-26T21:30:00+05:30,10000.00
2026-08-26T21:45:00+05:30,10000.00
2026-08-26T22:00:00+05:30,10000.00
2026-08-26T22:15:00+05:30,10000.00
2026-08-26T22:30:00+05:30,10000.00
2026-08-26T22:45:00+05:30,10000.00
2026-08-26T23:00:00+05:30,10000.00
2026-08-26T23:15:00+05:30,10000.00
2026-08-26T23:30:00+05:30,10000.00
2026-08-26T23:45:00+05:30,10000.00
2026-08-27T00:00:00+05:30,10000.00
2026-08-27T00:15:00+05:30,10000.00
2026-08-27T00:30:00+05:30,10000.00
2026-08-27T00:45:00+05:30,10000.00
2026-08-27T01:00:00+05:30,10000.00
2026-08-27T01:15:00+05:30,10000.00
2026-08-27T01:30:00+05:30,10000.00
2026-08-27T01:45:00+05:30,10000.00
2026-08-27T02:00:00+05:30,8149.37
2026-08-27T02:15:00+05:30,7000.81
2026-08-27T02:30:00+05:30,5500.96
2026-08-27T02:45:00+05:30,5500.84
2026-08-27T03:00:00+05:30,5000.48
2026-08-27T03:15:00+05:30,4913.19
2026-08-27T03:30:00+05:30,4213.47
2026-08-27T03:45:00+05:30,4060.56
2026-08-27T04:00:00+05:30,4060.71
2026-08-27T04:15:00+05:30,4822.36
2026-08-27T04:30:00+05:30,5138.40
2026-08-27T04:45:00+05:30,10000.00
2026-08-27T05:00:00+05:30,10000.00
2026-08-27T05:15:00+05:30,10000.00
2026-08-27T05:30:00+05:30,10000.00
2026-08-27T05:45:00+05:30,10000.00
2026-08-27T06:00:00+05:30,10000.00
2026-08-27T06:15:00+05:30,10000.00
2026-08-27T06:30:00+05:30,10000.00
2026-08-27T06:45:00+05:30,10000.00
2026-08-27T07:00:00+05:30,10000.00
2026-08-27T07:15:00+05:30,10000.00
2026-08-27T07:30:00+05:30,10000.00
2026-08-27T07:45:00+05:30,10000.00
2026-08-27T08:00:00+05:30,4570.74
2026-08-27T08:15:00+05:30,4324.12
2026-08-27T08:30:00+05:30,4012.63
2026-08-27T08:45:00+05:30,3638.82
2026-08-27T09:00:00+05:30,3395.39
2026-08-27T09:15:00+05:30,3200.92
2026-08-27T09:30:00+05:30,3160.68
2026-08-27T09:45:00+05:30,2946.39
2026-08-27T10:00:00+05:30,2560.08
2026-08-27T10:15:00+05:30,2440.76
2026-08-27T10:30:00+05:30,2090.86
2026-08-27T10:45:00+05:30,2132.72
2026-08-27T11:00:00+05:30,2140.20
2026-08-27T11:15:00+05:30,2119.43
2026-08-27T11:30:00+05:30,2000.47
2026-08-27T11:45:00+05:30,1999.78
2026-08-27T12:00:00+05:30,1954.04
2026-08-27T12:15:00+05:30,1959.81
2026-08-27T12:30:00+05:30,1909.37
2026-08-27T12:45:00+05:30,1860.53
2026-08-27T13:00:00+05:30,1860.01
